Time,PosX,PosY,PosZ,RotX,RotY,RotZ
0,18.10248,23.73138,-17.54896,0,0,0
0.01999999,18.10248,23.73138,-17.54896,0,0,0
0.2248469,18.10248,23.73138,-17.54896,0,0,0
0.260651,18.10248,23.73138,-17.54896,0,0,0
0.2646497,18.10248,23.73138,-17.54896,0,0,0
0.2756172,18.10248,23.73138,-17.54896,0,0,0
0.2871157,18.10248,23.73138,-17.54896,0,0,0
0.2982176,18.10248,23.73138,-17.54896,0,0,0
0.3085722,18.10248,23.73138,-17.54896,0,0,0
0.3196255,18.10248,23.73138,-17.54896,0,0,0
0.3301322,18.10248,23.73138,-17.54896,0,0,0
0.3420868,18.10248,23.73138,-17.54896,0,0,0
0.3528395,18.10248,23.73138,-17.54896,0,0,0
0.3636544,18.10248,23.73138,-17.54896,0,0,0
0.3743709,18.10248,23.73138,-17.54896,0,0,0
0.3855915,18.10248,23.73138,-17.54896,0,0,0
0.3967441,18.10248,23.73138,-17.54896,0,0,0
0.4081182,18.10248,23.73138,-17.54896,0,0,0
0.418946,18.10248,23.73138,-17.54896,0,0,0
0.4303139,18.10248,23.73138,-17.54896,0,0,0
0.4414056,18.10248,23.73138,-17.54896,0,0,0
0.4520705,18.10248,23.73138,-17.54896,0,0,0
0.4633548,18.10248,23.73138,-17.54896,0,0,0
0.4746076,18.10248,23.73138,-17.54896,0,0,0
0.4860742,18.10248,23.73138,-17.54896,0,0,0
0.49695,18.10248,23.73138,-17.54896,0,0,0
0.5076994,18.10248,23.73138,-17.54896,0,0,0
0.5188938,18.10248,23.73138,-17.54896,0,0,0
0.5302993,18.10248,23.73138,-17.54896,0,0,0
0.5415655,18.10248,23.73138,-17.54896,0,0,0
0.552829,18.10248,23.73138,-17.54896,0,0,0
0.5636212,18.10248,23.73138,-17.54896,0,0,0
0.5743707,18.10248,23.73138,-17.54896,0,0,0
0.5857864,18.10248,23.73138,-17.54896,0,0,0
0.596527,18.10248,23.73138,-17.54896,0,0,0
0.6079194,18.10248,23.73138,-17.54896,0,0,0
0.6188424,18.10248,23.73138,-17.54896,0,0,0
0.6300733,18.10248,23.73138,-17.54896,0,0,0
0.6409131,18.10248,23.73138,-17.54896,0,0,0
0.6527419,18.10248,23.73138,-17.54896,0,0,0
0.6634016,18.10248,23.73138,-17.54896,0,0,0
0.6744379,18.10248,23.73138,-17.54896,0,0,0
0.6855842,18.10248,23.73138,-17.54896,0,0,0
0.6968641,18.10248,23.73138,-17.54896,0,0,0
0.7079064,18.10248,23.73138,-17.54896,0,0,0
0.7188318,18.10248,23.73138,-17.54896,0,0,0
0.730278,18.10248,23.73138,-17.54896,0,0,0
0.7410955,18.10248,23.73138,-17.54896,0,0,0
0.7521306,18.10248,23.73138,-17.54896,0,0,0
0.763483,18.10248,23.73138,-17.54896,0,0,0
0.7745919,18.10248,23.73138,-17.54896,0,0,0
0.7860457,18.10248,23.73138,-17.54896,0,0,0
0.7970533,18.10248,23.73138,-17.54896,0,0,0
0.8079788,18.10248,23.73138,-17.54896,0,0,0
0.8189094,18.10248,23.73138,-17.54896,0,0,0
0.8299022,18.10248,23.73138,-17.54896,0,0,0
0.8409604,18.10248,23.73138,-17.54896,0,0,0
0.8524106,18.10248,23.73138,-17.54896,0,0,0
0.8632219,18.10248,23.73138,-17.54896,0,0,0
0.8742999,18.10248,23.73138,-17.54896,0,0,0
0.8857184,18.10248,23.73138,-17.54896,0,0,0
0.8976526,18.10248,23.73138,-17.54896,0,0,0
0.9078188,18.10248,23.73138,-17.54896,0,0,0
0.9191512,18.10248,23.73138,-17.54896,0,0,0
0.9300588,18.10248,23.73138,-17.54896,0,0,0
0.9413276,18.10248,23.73138,-17.54896,0,0,0
0.9522332,18.10248,23.73138,-17.54896,0,0,0
0.9634594,18.10248,23.73138,-17.54896,0,0,0
0.9744988,18.10248,23.73138,-17.54896,0,0,0
0.9856676,18.10248,23.73138,-17.54896,0,0,0
0.9964036,18.10248,23.73138,-17.54896,0,0,0
1.007905,18.10248,23.73138,-17.54896,0,0,0
1.01888,18.10248,23.73138,-17.54896,0,0,0
1.030226,18.10248,23.73138,-17.54896,0,0,0
1.04095,18.10248,23.73138,-17.54896,0,0,0
1.052371,18.10248,23.73138,-17.54896,0,0,0
1.063089,18.10248,23.73138,-17.54896,0,0,0
1.074309,18.10248,23.73138,-17.54896,0,0,0
