Time(s);RTF
39.90;1.01
40.00;1.00
40.10;1.01
40.20;0.97
40.30;0.98
40.40;1.04
40.50;0.95
40.60;1.01
40.70;1.05
40.80;1.00
40.90;1.00
41.00;0.94
41.10;1.04
41.20;1.01
41.30;0.99
41.40;1.03
41.50;0.95
41.60;1.06
41.70;0.91
41.80;1.10
41.90;1.00
42.00;0.94
42.10;1.04
42.20;0.99
42.30;0.88
42.40;1.20
42.50;0.98
42.60;0.95
42.70;1.02
42.80;0.92
42.90;1.14
43.00;0.95
43.10;1.07
43.20;0.98
43.30;0.98
43.40;1.03
43.50;1.01
43.60;1.00
43.70;0.99
43.80;0.91
43.90;1.06
44.00;1.06
44.10;1.00
44.20;1.01
44.30;0.99
44.40;0.98
44.50;1.00
44.60;0.88
44.70;1.15
44.80;1.01
44.90;0.92
45.00;1.07
45.10;0.99
45.20;0.91
45.30;1.12
45.40;1.00
45.50;1.04
45.60;0.97
45.70;1.01
45.80;0.97
45.90;0.98
46.00;1.01
46.10;0.99
46.20;0.90
46.30;1.11
46.40;1.07
46.50;0.99
46.60;0.92
46.70;1.12
46.80;0.98
46.90;0.97
47.00;1.04
47.10;1.01
47.20;0.98
47.30;1.04
47.40;0.99
47.50;1.01
47.60;0.98
47.70;1.02
47.80;0.88
47.90;1.15
48.00;0.99
48.10;0.96
48.20;0.99
48.30;1.06
48.40;0.95
48.50;0.99
48.60;1.08
48.70;1.00
48.80;1.00
48.90;0.88
49.00;1.04
49.10;0.90
49.20;1.36
49.30;0.93
49.40;0.94
49.50;1.02
49.60;0.95
49.70;1.23
49.80;0.93
49.90;0.99
50.00;0.92
50.10;1.08
50.20;1.10
50.30;0.92
50.40;0.93
50.50;1.02
50.60;0.96
50.70;1.04
50.80;0.94
50.90;1.08
51.00;0.91
51.10;1.05
51.20;1.08
51.30;0.97
51.40;1.04
51.50;1.10
51.60;0.93
51.70;1.00
51.80;0.95
51.90;0.95
52.00;1.21
52.10;0.94
52.20;1.13
